T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
13.4,21.1,5.6,1020,60,1.9,8,22.2,30.541666666666668
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,37.625
13.7,22,7,1018.2,63,1.8,7.2,18.3,37.583333333333336
14.9,21.9,7.1,1018.3,73,0.6,2,7.6,111.08333333333333
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,42.291666666666664
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,45.666666666666664
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,19.0
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,26.875
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,30.708333333333332
16,25.2,10,1013.2,79,0.6,4.8,11.1,47.5
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,43.041666666666664
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,19.416666666666668
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,15.75
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,0.0
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,0.0
13.4,21.1,5.6,1020,60,1.9,8,22.2,5.041666666666667
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,15.375
13.7,22,7,1018.2,63,1.8,7.2,18.3,19.833333333333332
14.9,21.9,7.1,1018.3,73,0.6,2,7.6,42.458333333333336
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,31.333333333333332
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,47.416666666666664
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,35.041666666666664
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,39.041666666666664
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,41.708333333333336
16,25.2,10,1013.2,79,0.6,4.8,11.1,34.041666666666664
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,12.25
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,14.5
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,24.208333333333332
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,27.375
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,29.208333333333332
13.4,21.1,5.6,1020,60,1.9,8,22.2,28.5
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,27.833333333333332
13.7,22,7,1018.2,63,1.8,7.2,18.3,44.125
14.9,21.9,7.1,1018.3,73,0.6,2,7.6,43.083333333333336
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,34.666666666666664
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,39.208333333333336
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,66.83333333333333
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,69.95833333333333
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,94.375
16,25.2,10,1013.2,79,0.6,4.8,11.1,39.5
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,51.666666666666664
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,39.416666666666664
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,32.958333333333336
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,43.5
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,50.416666666666664
13.4,21.1,5.6,1020,60,1.9,8,22.2,35.541666666666664
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,57.125
13.7,22,7,1018.2,63,1.8,7.2,18.3,69.375
14.9,21.9,7.1,1018.3,73,0.6,2,7.6,93.25
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,97.70833333333333
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,80.70833333333333
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,81.625
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,65.375
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,84.375
16,25.2,10,1013.2,79,0.6,4.8,11.1,141.95833333333334
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,153.375
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,162.875
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,0.0
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,49.333333333333336
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,107.33333333333333
13.4,21.1,5.6,1020,60,1.9,8,22.2,273.625
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,256.9583333333333
13.7,22,7,1018.2,63,1.8,7.2,18.3,185.08333333333334
14.9,21.9,7.1,1018.3,73,0.6,2,7.6,166.16666666666666
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,241.875
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,176.875
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,353.0416666666667
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,257.4166666666667
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,204.75
16,25.2,10,1013.2,79,0.6,4.8,11.1,207.83333333333334
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,268.1666666666667
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,278.3333333333333
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,157.5
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,156.375
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,200.5
13.4,21.1,5.6,1020,60,1.9,8,22.2,212.125
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8,190.5
13.7,22,7,1018.2,63,1.8,7.2,18.3,236.41666666666666
14.9,21.9,7.1,1018.3,73,0.6,2,7.6,286.375
7.4,9.8,4.8,1017.6,93,0.5,4.3,9.4,302.4583333333333
7.8,12.7,4.4,1018.5,87,0.6,4.4,11.1,261.25
6.7,13.4,2.4,1019.4,82,0.6,4.8,11.1,161.375
8.6,15.5,3.3,1018.7,72,0.8,8.1,20.6,157.375
12.4,20.9,4.4,1017.3,61,1.3,8.7,22.2,162.875
16,25.2,10,1013.2,79,0.6,4.8,11.1,264.5833333333333
13.4,21,9.2,1015.1,87,0.5,1.5,7.6,253.29166666666666
14.3,22.6,6.6,1016.3,76,0.8,0.4,3.5,338.625
12.7,18.9,7.3,1021.2,76,1.8,6.1,16.5,210.875
11.9,18.9,6.3,1020.1,76,1.1,8.3,20.6,255.33333333333334
12.2,19.9,6.2,1021,69,2.1,4.4,18.3,199.91666666666666
13.4,21.1,5.6,1020,60,1.9,8,22.2
12.3,21.4,6.4,1019.6,70,1.9,6.7,14.8
13.7,22,7,1018.2,63,1.8,7.2,18.3
14.9,21.9,7.1,1018.3,73,0.6,2,7.6
